,PostalCode,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,7100,Cape Flats,Delft,-33.9655556,18.6444444,2,Pizza Place,Burger Joint,Business Service,Winery,Electronics Store,Fish & Chips Shop,Fast Food Restaurant,Farm,Event Space,Event Service
1,7130,Cape Flats,Macassar,-34.0661159,18.7674955,4,Bakery,Arts & Crafts Store,Beach,Electronics Store,Flea Market,Fishing Store,Fish & Chips Shop,Fast Food Restaurant,Farm,Event Space
2,7130,Helderberg,"Firgrove, Somerset West",-34.0405394,18.4557528,1,Gas Station,Grocery Store,Steakhouse,Shopping Mall,Bakery,Hotel,Business Service,Thai Restaurant,Portuguese Restaurant,Restaurant
3,7140,Helderberg,"Gordon's Bay, Strand",-34.1611249,18.8686867,1,Seafood Restaurant,Shopping Mall,Burger Joint,Coffee Shop,Restaurant,Breakfast Spot,Scenic Lookout,Café,City,Bed & Breakfast
4,7405,Northern Suburbs,"Brooklyn, Kensington, Maitland, Rugby",-33.9088889,18.4791667,1,Bus Station,Hotel,Cultural Center,Gas Station,Flea Market,Café,Spa,Restaurant,Beach,Climbing Gym
5,7405,Southern Suburbs,"Ndabeni, Pinelands",-33.928485,18.4916241,1,Grocery Store,Gym,Paper / Office Supplies Store,Seafood Restaurant,Gas Station,Burger Joint,Fast Food Restaurant,Restaurant,Pizza Place,Café
6,7441,Northern Suburbs,"Bothasig, Edgemead",-33.8594444,18.5411111,3,Shopping Mall,Convenience Store,Grocery Store,Dance Studio,Pub,Seafood Restaurant,Stadium,Winery,Donut Shop,Farm
7,7441,West Coast,"Bloubergstrand, Melkbosstrand, Milnerton, Montague Gardens, Parklands, Table View, West Beach",-33.797336,18.4610228,1,Seafood Restaurant,Café,Restaurant,African Restaurant,Steakhouse,Hotel,Juice Bar,Lounge,Dessert Shop,Department Store
8,7455,Cape Flats,Langa,-33.9455556,18.53,3,Convenience Store,Fast Food Restaurant,Shopping Mall,Seafood Restaurant,Steakhouse,Pizza Place,Grocery Store,Coffee Shop,Cultural Center,Electronics Store
9,7460,Cape Flats,Epping,-33.9333695,18.534577,1,Gas Station,Nightclub,Fast Food Restaurant,Grocery Store,Train Station,Hotel,Liquor Store,Diner,Farm,Event Space
10,7460,Northern Suburbs,"Goodwood, Monte Vista, Thornton",-33.9066667,18.5491667,1,Fast Food Restaurant,Hotel,Steakhouse,Casino,Diner,Shopping Mall,Seafood Restaurant,Train Station,Department Store,Electronics Store
11,7493,Northern Suburbs,Belhar,-33.9447222,18.6258333,1,Fast Food Restaurant,Pizza Place,Deli / Bodega,Hotel,Business Service,Supermarket,Basketball Court,Electronics Store,Fish & Chips Shop,Farm
12,7500,Northern Suburbs,"Panorama, Parow, Plattekloof",-33.8797859,18.5648098,1,Shopping Mall,Seafood Restaurant,Grocery Store,Pizza Place,Fast Food Restaurant,Steakhouse,Supermarket,Portuguese Restaurant,Italian Restaurant,Department Store
13,7530,Northern Suburbs,"Bellville, Loevenstein",-33.8980556,18.6277778,1,Fast Food Restaurant,Nightclub,Restaurant,Pharmacy,Convenience Store,Grocery Store,Coffee Shop,Breakfast Spot,Shoe Store,Burger Joint
14,7550,Northern Suburbs,Durbanville,-33.8402778,18.6494444,1,Grocery Store,Coffee Shop,Fast Food Restaurant,Café,Burger Joint,Steakhouse,Supermarket,Cuban Restaurant,Pub,Restaurant
15,7560,Northern Suburbs,Brackenfell,-33.883056,18.7,1,Fast Food Restaurant,Grocery Store,Pizza Place,Gas Station,Deli / Bodega,Portuguese Restaurant,Chinese Restaurant,Restaurant,Café,Shopping Mall
16,7570,Northern Suburbs,Kraaifontein,-33.8477778,18.7161111,3,Fast Food Restaurant,Train Station,Breakfast Spot,Coffee Shop,Seafood Restaurant,Multiplex,Music Store,Shopping Mall,Clothing Store,Burger Joint
17,7579,Northern Suburbs,Kuils River,-33.8461556,18.6681403,3,Shopping Mall,Convenience Store,Golf Course,Seafood Restaurant,Breakfast Spot,Food Court,Football Stadium,Bed & Breakfast,Restaurant,Burger Joint
18,7605,Northern Suburbs,Milnerton,-33.8794444,18.4963889,1,Hotel,Fast Food Restaurant,Steakhouse,Supermarket,Grocery Store,Sushi Restaurant,Portuguese Restaurant,Chinese Restaurant,Beach,Bar
19,7700,Southern Suburbs,"Mowbray, Newlands, Rondebosch, Rosebank",-33.9483333,18.4741667,1,Coffee Shop,Bar,Grocery Store,Restaurant,BBQ Joint,Breakfast Spot,Fast Food Restaurant,Café,Indian Restaurant,Pizza Place
20,7708,Southern Suburbs,"Bishopscourt, Claremont, Harfield Village, Kenilworth",-33.9886111,18.4466667,1,Café,Fast Food Restaurant,Restaurant,Hotel,Coffee Shop,Italian Restaurant,Bakery,Electronics Store,Garden,Burger Joint
21,7750,Cape Flats,"Gugulethu, Nyanga, Philippi",-33.9822813,18.5795783205246,1,Rental Car Location,Hotel,African Restaurant,Gas Station,Convenience Store,Museum,Fast Food Restaurant,Business Service,Shopping Mall,Food & Drink Shop
22,7764,Cape Flats,"Athlone, Bonteheuwel",-33.9666667,18.505,3,Burger Joint,Asian Restaurant,Electronics Store,Café,Fast Food Restaurant,Gas Station,Sporting Goods Shop,Coffee Shop,Outdoors & Recreation,Shopping Mall
23,7780,Cape Flats,Crawford,-33.9775,18.5033333,1,Fast Food Restaurant,Pizza Place,Furniture / Home Store,Café,Coffee Shop,Burger Joint,Seafood Restaurant,Shopping Mall,Portuguese Restaurant,Clothing Store
24,7780,Southern Suburbs,"Kenwyn, Lansdowne, Rondebosch East",-33.9954688,18.4992116,1,Shopping Mall,Train Station,Portuguese Restaurant,Fast Food Restaurant,Supermarket,Coffee Shop,Clothing Store,Movie Theater,Racetrack,Seafood Restaurant
25,7784,Cape Flats,Khayelitsha,-34.0405905,18.6674201,3,Convenience Store,Burger Joint,Shopping Mall,Coffee Shop,Lounge,Electronics Store,Fish & Chips Shop,Fast Food Restaurant,Farm,Event Space
26,7785,Cape Flats,"Mitchells Plain, Samora Machel",-34.050556,18.618056,1,Miscellaneous Shop,Café,Shopping Mall,Food Court,Restaurant,Department Store,Design Studio,Dessert Shop,Dim Sum Restaurant,Diner
27,7798,Cape Flats,Strandfontein,-34.0711111,18.5447222,0,Beach,Gas Station,Indian Restaurant,Soccer Field,Deli / Bodega,Event Service,Flea Market,Fishing Store,Fish & Chips Shop,Fast Food Restaurant
28,7800,Cape Flats,Ottery,-34.0172222,18.5155556,3,Shopping Mall,Grocery Store,Train Station,Portuguese Restaurant,Gas Station,Breakfast Spot,Winery,Diner,Fast Food Restaurant,Farm
29,7800,Southern Suburbs,"Plumstead, Wynberg",-34.02,18.4772222,1,Grocery Store,Pharmacy,Pizza Place,Café,Thai Restaurant,Indian Restaurant,Park,Coffee Shop,Golf Course,Deli / Bodega
30,7806,Atlantic Seaboard,"Hout Bay, Imizamo Yethu, Llandudno",-34.043093,18.355645,1,Seafood Restaurant,Italian Restaurant,Deli / Bodega,Supermarket,Coffee Shop,Pizza Place,Scenic Lookout,Restaurant,Port,Department Store
31,7806,Southern Suburbs,"Constantia, Kreupelbosch, Meadowridge",-34.0283333,18.4155556,1,Vineyard,Winery,Restaurant,French Restaurant,Gastropub,Resort,Café,Breakfast Spot,Bakery,Flower Shop
32,7880,Southern Suburbs,SouthField,-34.0347222,18.4833333,1,Pharmacy,Train Station,Bookstore,General Travel,Fish & Chips Shop,Fast Food Restaurant,River,Gas Station,Bakery,Deli / Bodega
33,7925,City Bowl,"Salt River, Walmer Estate (District Six), Woodstock (including Upper Woodstock), Zonnebloem (District Six)",-33.9279425,18.477689,1,Bar,Restaurant,Fast Food Restaurant,Coffee Shop,Gas Station,Grocery Store,Gastropub,Breakfast Spot,Café,Burger Joint
34,7925,Southern Suburbs,Observatory,-33.9369444,18.4683333,1,Coffee Shop,Restaurant,Bar,Fast Food Restaurant,Hotel,Café,Mexican Restaurant,Caribbean Restaurant,Deli / Bodega,Gas Station
35,7941,Cape Flats,"Grassy Park, Lotus River",-34.0451287,18.5032529,1,Gas Station,Fast Food Restaurant,Grocery Store,Photography Studio,Portuguese Restaurant,Pharmacy,Park,Dim Sum Restaurant,Farm,Event Space
36,7945,Cape Flats,Lavender Hill,-34.0736111,18.4833333,3,Fast Food Restaurant,Harbor / Marina,Train Station,Convenience Store,Department Store,Gas Station,Deli / Bodega,Dance Studio,Design Studio,Dessert Shop
37,7945,South Peninsula,"Lakeside, Marina da Gama, Muizenberg, St James",-34.0872222,18.4569444,1,Pizza Place,Café,Shopping Mall,Golf Course,Bakery,Pub,Electronics Store,Seafood Restaurant,Food Court,Juice Bar
38,7945,Southern Suburbs,"Bergvliet, Diep River, Heathfield, Kirstenhof, Retreat, Steenberg, Tokai",-34.0447957,18.4528321,1,Gas Station,Grocery Store,Shopping Mall,Bakery,Steakhouse,Breakfast Spot,Portuguese Restaurant,Convenience Store,Arcade,Hotel
39,7975,South Peninsula,"Capri Village, Clovelly, Fish Hoek, Glencairn, Kalk Bay, Kommetjie, Masiphumelele, Ocean View, Simon's Town, Sunnydale, Sun Valley",49.21567215,18.7565081114239,1,Restaurant,Café,Pizza Place,Hotel,Pub,Gym / Fitness Center,Coffee Shop,Bookstore,Electronics Store,Ice Cream Shop
40,8005,Atlantic Seaboard,"Bakoven, Bantry Bay, Camps Bay, Clifton, Fresnaye, Green Point, Mouille Point, Sea Point, Three Anchor Bay",-33.96,18.3827778,1,Hotel,Café,Restaurant,Seafood Restaurant,Beach,Coffee Shop,Pizza Place,Scenic Lookout,Italian Restaurant,Ice Cream Shop
